"division","station_name","station_names","latitude","longitude","lines","comment"
부산,남포,{남포},35.09790554832192,129.03473562824252,{1호선},
부산,낫개,{낫개},35.065334914564,128.979663395342,{1호선},
부산,냉정,{냉정},35.1512560458061,129.012118730836,{2호선},
부산,노포,"{노포,종합버스터미널}",35.2838438093648,129.09502424558,{1호선},
부산,당리,{당리},35.1035668582463,128.973696685691,{1호선},
부산,대사,{대사},35.2176967415322,128.938390945621,{부산김해경전철},
부산,대연,{대연},35.1351251955716,129.092118524312,{2호선},
부산,대저,{대저},35.2133137085415,128.960972949281,"{3호선,부산김해경전철}",
부산,대티,{대티},35.1031581926258,128.999943470572,{1호선},
부산,덕두,{덕두},35.181994167427,128.95417861657,{부산김해경전철},
부산,덕천,{덕천},35.210434749918534,129.00517512816737,"{2호선,3호선}",
부산,덕포,{덕포},35.173322543115,128.983801941146,{2호선},
부산,덕하,{덕하},35.50786782920172,129.32123387577892,{동해선},
부산,동래,{동래},35.20561606540984,129.0784743842795,"{1호선,4호선,동해선}","동해선은 메인 전철과 약 1km 떨어져있어서 환승역이 아니지만, 일단 임의로 포함해놓음"
부산,동매,{동매},35.0897562520489,128.973526035966,{1호선},
부산,동백,{동백},35.1613367503845,129.147990152182,{2호선},
부산,동원,{동원},35.2586448319904,129.012410550189,{2호선},
부산,두실,{두실},35.2570169811596,129.091371463912,{1호선},
부산,등구,{등구},35.196153352934,128.963542041197,{부산김해경전철},
부산,만덕,{만덕},35.2130037763101,129.036274850219,{3호선},
부산,망미,"{망미,병무청}",35.171497899839316,129.10831503568375,{3호선},
부산,망양,{망양},35.456494939514954,129.28789618393083,{동해선},
부산,명륜,{명륜},35.2125752875352,129.079702639717,{1호선},
부산,명장,{명장},35.20540841852537,129.1018738053871,{4호선},
부산,모덕,{모덕},35.1804122918444,128.985603131583,{2호선},
부산,모라,{모라},35.1895447446342,128.988569733613,{2호선},
부산,못골,{못골},35.1347250910939,129.084381118075,{2호선},
부산,문현,{문현},35.1390425736004,129.067394840249,{2호선},
부산,미남,{미남},35.20684465674998,129.06898858871165,"{3호선,4호선}",
부산,민락,{민락},35.1670631931086,129.122097073991,{2호선},
부산,배산,{배산},35.1734942170739,129.09558177246,{3호선},
부산,범일,{범일},35.14080345890983,129.0593528545117,{1호선},
부산,봉황,{봉황},35.2272823463239,128.8742777452,{부산김해경전철},
부산,부산,{부산},35.1145412381182,129.039344263316,{1호선},
부산,부암,{부암},35.157364020045065,129.0501711324292,{2호선},
부산,부원,{부원},35.226524233428016,128.88398327872176,{부산김해경전철},
부산,부전,{부전},35.1640321323598,129.059441356112,"{1호선,동해선}",
부산,불암,{불암},35.222144212820545,128.92783103353437,{부산김해경전철},
부산,사상,{사상},35.1626895550862,128.984408359544,"{2호선,부산김해경전철}",
부산,사직,{사직},35.1986215514386,129.065193277832,{3호선},
부산,사하,{사하},35.0997677417715,128.983395006332,{1호선},
부산,서동,{서동},35.2131681497048,129.107524541959,{4호선},
부산,서면,{서면},35.157939062512,129.059300883545,"{1호선,2호선}",
부산,서생,{서생},35.346167450987814,129.29305003906973,{동해선},
부산,석대,{석대},35.2177499579063,129.123995882239,{4호선},
부산,센텀,{센텀},35.1795120878211,129.124435879898,{동해선},
부산,송정,{송정},35.1877667326912,129.20208562126,{동해선},
부산,수안,{수안},35.2017370185204,129.083848486855,{4호선},
부산,수영,{수영},35.165680361287,129.114809550972,"{2호선,3호선}",
부산,수정,{수정},35.2231832264448,129.009105154949,{2호선},
부산,숙등,{숙등},35.2120778435626,129.013192843436,{3호선},
부산,시청,{시청},35.1796794732693,129.076559083164,{1호선},
부산,신평,{신평},35.0952286648109,128.960618556493,{1호선},
부산,안락,{안락},35.19362117361153,129.11425370467586,{동해선},
부산,안평,{안평},35.2373686145171,129.17176302749,{4호선},
부산,양산,{양산},35.3387498687181,129.026444387383,{2호선},
부산,양정,{양정},35.1727945202073,129.071093977334,{1호선},
부산,연산,{연산},35.1860379097119,129.081603364757,"{1호선,3호선}",
부산,월내,{월내},35.3281021044877,129.276716991971,{동해선},
부산,율리,{율리},35.24625350303768,129.01286767118953,{2호선},
부산,일광,{일광},35.26758119584539,129.23309285186517,{동해선},
부산,장림,{장림},35.081961734507,128.977350698097,{1호선},
부산,장산,{장산},35.1699558313015,129.177022545045,{2호선},
부산,장전,{장전},35.23807481304964,129.08814333961908,{1호선},
부산,재송,{재송},35.1880806332915,129.120092561969,{동해선},
부산,전포,{전포},35.1530881426641,129.06538457863,{2호선},
부산,좌천,{좌천},35.1343820073548,129.054455383044,"{1호선,동해선}",
부산,주례,{주례},35.1504864668448,129.002874383901,{2호선},
부산,중동,{중동},35.1666833502971,129.16876188899343,{2호선},
부산,중앙,{중앙},35.10372501690833,129.036363969152,{1호선},
부산,증산,{증산},35.3082580738269,129.010288175541,{2호선},
부산,지내,{지내},35.2274754567937,128.923761776687,{부산김해경전철},
부산,초량,{초량},35.1205304214806,129.042661154399,{1호선},
부산,토성,{토성},35.1007852525409,129.019785649708,{1호선},
부산,평강,{평강},35.2140387478609,128.950681581985,{부산김해경전철},
